jour,dep,P,cas_glissant
2020-05-14,94,38,NA
2020-05-14,95,37,NA
2020-05-14,971,0,NA
2020-05-14,972,4,NA
2020-05-14,973,0,NA
2020-05-14,974,1,NA
2020-05-14,975,0,NA
2020-05-14,976,9,NA
2020-05-14,977,0,NA
2020-05-14,978,0,NA
2020-05-15,01,5,NA
2020-05-15,02,14,NA
2020-05-15,03,2,NA
2020-05-15,04,1,NA
2020-05-15,05,0,NA
2020-05-15,06,20,NA
2020-05-15,07,5,NA
2020-05-15,08,6,NA
2020-05-15,09,0,NA
2020-05-15,10,5,NA
2020-05-15,11,1,NA
2020-05-15,12,11,NA
2020-05-15,13,48,NA
2020-05-15,14,3,NA
2020-05-15,15,0,NA
2020-05-15,16,2,NA
2020-05-15,17,1,NA
2020-05-15,18,5,NA
2020-05-15,19,1,NA
2020-05-15,21,7,NA
2020-05-15,22,13,NA
2020-05-15,23,0,NA
2020-05-15,24,0,NA
2020-05-15,25,6,NA
2020-05-15,26,7,NA
2020-05-15,27,3,NA
2020-05-15,28,8,NA
2020-05-15,29,2,NA
2020-05-15,2A,1,NA
2020-05-15,2B,0,NA
2020-05-15,30,15,NA
2020-05-15,31,17,NA
2020-05-15,32,1,NA
2020-05-15,33,5,NA
2020-05-15,34,5,NA
2020-05-15,35,64,NA
2020-05-15,36,5,NA
2020-05-15,37,8,NA
2020-05-15,38,5,NA
2020-05-15,39,6,NA
2020-05-15,40,0,NA
2020-05-15,41,4,NA
2020-05-15,42,7,NA
2020-05-15,43,0,NA
2020-05-15,44,11,NA
2020-05-15,45,24,NA
2020-05-15,46,7,NA
2020-05-15,47,1,NA
2020-05-15,48,0,NA
2020-05-15,49,5,NA
2020-05-15,50,0,NA
2020-05-15,51,10,NA
2020-05-15,52,0,NA
2020-05-15,53,3,NA
2020-05-15,54,20,NA
2020-05-15,55,21,NA
2020-05-15,56,2,NA
2020-05-15,57,45,NA
2020-05-15,58,29,NA
2020-05-15,59,30,NA
2020-05-15,60,25,NA
2020-05-15,61,7,NA
2020-05-15,62,9,NA
2020-05-15,63,5,NA
2020-05-15,64,13,NA
2020-05-15,65,6,NA
2020-05-15,66,0,NA
2020-05-15,67,26,NA
2020-05-15,68,15,NA
2020-05-15,69,26,NA
2020-05-15,70,2,NA
2020-05-15,71,9,NA
2020-05-15,72,7,NA
2020-05-15,73,4,NA
2020-05-15,74,12,NA
2020-05-15,75,47,NA
2020-05-15,76,10,NA
2020-05-15,77,20,NA
2020-05-15,78,32,NA
2020-05-15,79,3,NA
2020-05-15,80,8,NA
2020-05-15,81,0,NA
2020-05-15,82,1,NA
2020-05-15,83,2,NA
2020-05-15,84,2,NA
2020-05-15,85,11,NA
2020-05-15,86,4,NA
2020-05-15,87,0,NA
2020-05-15,88,2,NA
2020-05-15,89,3,NA
2020-05-15,90,1,NA
2020-05-15,91,28,NA
2020-05-15,92,63,NA
2020-05-15,93,31,NA
2020-05-15,94,33,NA
2020-05-15,95,19,NA
2020-05-15,971,0,NA
2020-05-15,972,0,NA
2020-05-15,973,0,NA
2020-05-15,974,1,NA
2020-05-15,975,0,NA
2020-05-15,976,12,NA
2020-05-15,977,0,NA
2020-05-15,978,0,NA
2020-05-16,01,0,NA
2020-05-16,02,7,NA
2020-05-16,03,2,NA
2020-05-16,04,0,NA
2020-05-16,05,0,NA
2020-05-16,06,2,NA
2020-05-16,07,0,NA
2020-05-16,08,1,NA
2020-05-16,09,0,NA
2020-05-16,10,0,NA
2020-05-16,11,0,NA
2020-05-16,12,1,NA
2020-05-16,13,13,NA
2020-05-16,14,1,NA
2020-05-16,15,0,NA
2020-05-16,16,0,NA
2020-05-16,17,0,NA
2020-05-16,18,0,NA
2020-05-16,19,0,NA
2020-05-16,21,4,NA
2020-05-16,22,5,NA
2020-05-16,23,0,NA
2020-05-16,24,0,NA
2020-05-16,25,7,NA
2020-05-16,26,2,NA
2020-05-16,27,0,NA
2020-05-16,28,1,NA
2020-05-16,29,2,NA
2020-05-16,2A,0,NA
2020-05-16,2B,1,NA
2020-05-16,30,2,NA
2020-05-16,31,3,NA
2020-05-16,32,2,NA
2020-05-16,33,0,NA
2020-05-16,34,1,NA
2020-05-16,35,9,NA
2020-05-16,36,1,NA
2020-05-16,37,1,NA
2020-05-16,38,2,NA
2020-05-16,39,0,NA
2020-05-16,40,0,NA
2020-05-16,41,1,NA
2020-05-16,42,1,NA
2020-05-16,43,1,NA
2020-05-16,44,1,NA
2020-05-16,45,31,NA
2020-05-16,46,0,NA
2020-05-16,47,1,NA
2020-05-16,48,0,NA
2020-05-16,49,6,NA
2020-05-16,50,1,NA
2020-05-16,51,2,NA
2020-05-16,52,1,NA
2020-05-16,53,1,NA
2020-05-16,54,1,NA
2020-05-16,55,4,NA
2020-05-16,56,1,NA
2020-05-16,57,5,NA
2020-05-16,58,1,NA
2020-05-16,59,15,NA
2020-05-16,60,5,NA
2020-05-16,61,0,NA
2020-05-16,62,0,NA
2020-05-16,63,1,NA
2020-05-16,64,0,NA
2020-05-16,65,0,NA
2020-05-16,66,0,NA
2020-05-16,67,9,NA
2020-05-16,68,16,NA
2020-05-16,69,12,NA
2020-05-16,70,0,NA
2020-05-16,71,3,NA
2020-05-16,72,4,NA
2020-05-16,73,2,NA
2020-05-16,74,2,NA
2020-05-16,75,16,NA
2020-05-16,76,4,NA
2020-05-16,77,11,NA
2020-05-16,78,15,NA
2020-05-16,79,4,NA
2020-05-16,80,3,NA
2020-05-16,81,0,NA
2020-05-16,82,1,NA
2020-05-16,83,0,NA
2020-05-16,84,0,NA
2020-05-16,85,5,NA
2020-05-16,86,2,NA
2020-05-16,87,1,NA
2020-05-16,88,0,NA
2020-05-16,89,8,NA
2020-05-16,90,0,NA
2020-05-16,91,0,NA
2020-05-16,92,4,NA
2020-05-16,93,6,NA
2020-05-16,94,7,NA
2020-05-16,95,3,NA
2020-05-16,971,0,NA
2020-05-16,972,1,NA
2020-05-16,973,1,NA
2020-05-16,974,1,NA
2020-05-16,975,0,NA
2020-05-16,976,0,NA
2020-05-16,977,0,NA
2020-05-16,978,0,NA
2020-05-17,01,0,NA
2020-05-17,02,2,NA
2020-05-17,03,1,NA
2020-05-17,04,0,NA
2020-05-17,05,0,NA
2020-05-17,06,2,NA
2020-05-17,07,0,NA
2020-05-17,08,0,NA
2020-05-17,09,0,NA
2020-05-17,10,0,NA
2020-05-17,11,0,NA
2020-05-17,12,0,NA
2020-05-17,13,3,NA
2020-05-17,14,5,NA
2020-05-17,15,0,NA
2020-05-17,16,0,NA
2020-05-17,17,0,NA
2020-05-17,18,0,NA
2020-05-17,19,1,NA
2020-05-17,21,0,NA
2020-05-17,22,2,NA
2020-05-17,23,0,NA
2020-05-17,24,0,NA
2020-05-17,25,1,NA
2020-05-17,26,0,NA
2020-05-17,27,1,NA
2020-05-17,28,0,NA
2020-05-17,29,0,NA
2020-05-17,2A,0,NA
2020-05-17,2B,0,NA
2020-05-17,30,1,NA
2020-05-17,31,2,NA
2020-05-17,32,2,NA
2020-05-17,33,1,NA
2020-05-17,34,1,NA
2020-05-17,35,1,NA
2020-05-17,36,0,NA
2020-05-17,37,2,NA
2020-05-17,38,1,NA
2020-05-17,39,1,NA
2020-05-17,40,0,NA
2020-05-17,41,1,NA
2020-05-17,42,0,NA
2020-05-17,43,0,NA
2020-05-17,44,1,NA
2020-05-17,45,14,NA
2020-05-17,46,0,NA
2020-05-17,47,0,NA
2020-05-17,48,0,NA
2020-05-17,49,0,NA
2020-05-17,50,0,NA
2020-05-17,51,0,NA
2020-05-17,52,0,NA
2020-05-17,53,0,NA
2020-05-17,54,3,NA
2020-05-17,55,0,NA
2020-05-17,56,0,NA
2020-05-17,57,2,NA
2020-05-17,58,0,NA
2020-05-17,59,2,NA
2020-05-17,60,4,NA
2020-05-17,61,0,NA
2020-05-17,62,2,NA
2020-05-17,63,0,NA
2020-05-17,64,0,NA
2020-05-17,65,0,NA
2020-05-17,66,0,NA
2020-05-17,67,0,NA
2020-05-17,68,1,NA
2020-05-17,69,8,NA
2020-05-17,70,0,NA
2020-05-17,71,3,NA
2020-05-17,72,1,NA
2020-05-17,73,1,NA
2020-05-17,74,2,NA
2020-05-17,75,5,NA
2020-05-17,76,2,NA
2020-05-17,77,4,NA
2020-05-17,78,4,NA
2020-05-17,79,1,NA
2020-05-17,80,0,NA
2020-05-17,81,0,NA
2020-05-17,82,0,NA
2020-05-17,83,0,NA
2020-05-17,84,1,NA
2020-05-17,85,3,NA
2020-05-17,86,0,NA
2020-05-17,87,0,NA
2020-05-17,88,0,NA
2020-05-17,89,3,NA
2020-05-17,90,0,NA
2020-05-17,91,6,NA
2020-05-17,92,14,NA
2020-05-17,93,6,NA
2020-05-17,94,4,NA
2020-05-17,95,10,NA
2020-05-17,971,0,NA
2020-05-17,972,0,NA
2020-05-17,973,0,NA
2020-05-17,974,3,NA
2020-05-17,975,0,NA
2020-05-17,976,0,NA
2020-05-17,977,0,NA
2020-05-17,978,0,NA
2020-05-18,01,11,NA
2020-05-18,02,6,NA
2020-05-18,03,1,NA
2020-05-18,04,0,NA
2020-05-18,05,2,NA
2020-05-18,06,48,NA
2020-05-18,07,2,NA
2020-05-18,08,2,NA
2020-05-18,09,0,NA
2020-05-18,10,4,NA
2020-05-18,11,9,NA
2020-05-18,12,3,NA
2020-05-18,13,59,NA
2020-05-18,14,2,NA
2020-05-18,15,3,NA
2020-05-18,16,5,NA
2020-05-18,17,3,NA
2020-05-18,18,2,NA
2020-05-18,19,1,NA
2020-05-18,21,10,NA
2020-05-18,22,15,NA
2020-05-18,23,2,NA
2020-05-18,24,1,NA
2020-05-18,25,5,NA
2020-05-18,26,6,NA
2020-05-18,27,6,NA
2020-05-18,28,6,NA
2020-05-18,29,0,NA
2020-05-18,2A,0,NA
2020-05-18,2B,2,NA
2020-05-18,30,13,NA
2020-05-18,31,9,NA
2020-05-18,32,21,NA
2020-05-18,33,6,NA
2020-05-18,34,15,NA
2020-05-18,35,6,NA
2020-05-18,36,1,NA
2020-05-18,37,11,NA
2020-05-18,38,6,NA
2020-05-18,39,0,NA
2020-05-18,40,3,NA
2020-05-18,41,5,NA
2020-05-18,42,3,NA
2020-05-18,43,1,NA
2020-05-18,44,12,NA
2020-05-18,45,26,NA
2020-05-18,46,4,NA
2020-05-18,47,2,NA
2020-05-18,48,0,NA
2020-05-18,49,18,NA
2020-05-18,50,0,NA
2020-05-18,51,10,NA
2020-05-18,52,2,NA
2020-05-18,53,1,NA
2020-05-18,54,32,NA
2020-05-18,55,14,NA
2020-05-18,56,3,NA
2020-05-18,57,57,NA
2020-05-18,58,1,NA
2020-05-18,59,52,NA
2020-05-18,60,12,NA
2020-05-18,61,4,NA
2020-05-18,62,22,NA
2020-05-18,63,1,NA
2020-05-18,64,4,NA
2020-05-18,65,1,NA
2020-05-18,66,0,NA
2020-05-18,67,25,NA
2020-05-18,68,13,NA
2020-05-18,69,30,NA
2020-05-18,70,1,NA
2020-05-18,71,15,NA
2020-05-18,72,10,NA
2020-05-18,73,6,NA
2020-05-18,74,2,NA
2020-05-18,75,34,NA
2020-05-18,76,16,NA
2020-05-18,77,50,NA
2020-05-18,78,29,NA
2020-05-18,79,9,NA
2020-05-18,80,8,NA
2020-05-18,81,1,NA
2020-05-18,82,9,NA
2020-05-18,83,4,NA
2020-05-18,84,4,NA
2020-05-18,85,8,NA
2020-05-18,86,14,NA
2020-05-18,87,1,NA
2020-05-18,88,6,NA
2020-05-18,89,2,NA
2020-05-18,90,7,NA
2020-05-18,91,26,NA
2020-05-18,92,42,NA
2020-05-18,93,45,NA
2020-05-18,94,39,NA
2020-05-18,95,56,NA
2020-05-18,971,0,NA
2020-05-18,972,2,NA
2020-05-18,973,3,NA
2020-05-18,974,0,NA
2020-05-18,975,0,NA
2020-05-18,976,2,NA
2020-05-18,977,0,NA
2020-05-18,978,0,NA
2020-05-19,01,9,6
2020-05-19,02,8,9
2020-05-19,03,4,2
2020-05-19,04,0,1
2020-05-19,05,5,2
2020-05-19,06,12,18
2020-05-19,07,1,2
2020-05-19,08,3,3
2020-05-19,09,0,0
2020-05-19,10,3,2
2020-05-19,11,3,9
2020-05-19,12,2,5
2020-05-19,13,32,38
2020-05-19,14,3,3
2020-05-19,15,0,1
2020-05-19,16,3,2
2020-05-19,17,1,1
2020-05-19,18,2,2
2020-05-19,19,2,1
2020-05-19,21,13,6
2020-05-19,22,46,13
2020-05-19,23,1,1
2020-05-19,24,3,1
2020-05-19,25,7,5
2020-05-19,26,2,4
2020-05-19,27,5,4
2020-05-19,28,5,4
2020-05-19,29,1,1
2020-05-19,2A,3,1
2020-05-19,2B,3,1
2020-05-19,30,20,10
2020-05-19,31,6,9
2020-05-19,32,9,6
2020-05-19,33,5,4
2020-05-19,34,13,8
2020-05-19,35,1,13
2020-05-19,36,2,2
2020-05-19,37,9,6
2020-05-19,38,10,6
2020-05-19,39,1,1
2020-05-19,40,5,1
2020-05-19,41,0,2
2020-05-19,42,2,5
2020-05-19,43,1,1
2020-05-19,44,13,7
2020-05-19,45,27,22
2020-05-19,46,0,2
2020-05-19,47,1,1
2020-05-19,48,1,0
2020-05-19,49,19,9
2020-05-19,50,1,1
2020-05-19,51,10,8
2020-05-19,52,3,1
2020-05-19,53,0,1
2020-05-19,54,19,15
2020-05-19,55,7,10
2020-05-19,56,6,2
2020-05-19,57,42,31
2020-05-19,58,0,4
2020-05-19,59,75,36
2020-05-19,60,15,12
2020-05-19,61,6,4
2020-05-19,62,17,11
2020-05-19,63,0,2
2020-05-19,64,3,3
2020-05-19,65,0,1
2020-05-19,66,0,0
2020-05-19,67,31,20
2020-05-19,68,17,13
2020-05-19,69,32,24
2020-05-19,70,1,1
2020-05-19,71,4,8
2020-05-19,72,7,5
2020-05-19,73,1,2
2020-05-19,74,10,6
2020-05-19,75,47,35
2020-05-19,76,5,9
2020-05-19,77,15,22
2020-05-19,78,44,25
2020-05-19,79,28,8
2020-05-19,80,14,8
2020-05-19,81,1,1
2020-05-19,82,0,2
2020-05-19,83,9,3
2020-05-19,84,2,2
2020-05-19,85,3,6
2020-05-19,86,24,9
2020-05-19,87,2,1
2020-05-19,88,4,4
2020-05-19,89,8,4
2020-05-19,90,4,2
2020-05-19,91,33,24
2020-05-19,92,42,33
2020-05-19,93,40,39
2020-05-19,94,47,28
2020-05-19,95,42,27
2020-05-19,971,0,0
2020-05-19,972,0,2
2020-05-19,973,0,1
2020-05-19,974,1,1
2020-05-19,975,0,0
2020-05-19,976,0,5
2020-05-19,977,0,0
2020-05-19,978,0,0
2020-05-20,01,11,6
2020-05-20,02,14,9
2020-05-20,03,4,2
2020-05-20,04,2,1
2020-05-20,05,2,2
2020-05-20,06,5,16
2020-05-20,07,1,2
2020-05-20,08,6,3
2020-05-20,09,0,0
2020-05-20,10,10,3
2020-05-20,11,7,8
2020-05-20,12,0,4
2020-05-20,13,46,36
2020-05-20,14,0,3
2020-05-20,15,0,1
2020-05-20,16,8,3
2020-05-20,17,1,1
2020-05-20,18,5,2
2020-05-20,19,1,1
2020-05-20,21,5,7
2020-05-20,22,28,16
2020-05-20,23,3,1
2020-05-20,24,1,1
2020-05-20,25,5,5
2020-05-20,26,2,4
2020-05-20,27,3,3
2020-05-20,28,6,5
2020-05-20,29,2,1
2020-05-20,2A,1,1
2020-05-20,2B,2,1
2020-05-20,30,9,11
2020-05-20,31,6,7
2020-05-20,32,3,6
2020-05-20,33,6,4
2020-05-20,34,21,9
2020-05-20,35,5,13
2020-05-20,36,0,1
2020-05-20,37,16,7
2020-05-20,38,8,6
2020-05-20,39,2,1
2020-05-20,40,0,1
2020-05-20,41,6,3
2020-05-20,42,3,4
2020-05-20,43,2,1
2020-05-20,44,9,8
2020-05-20,45,20,23
2020-05-20,46,0,2
2020-05-20,47,0,1
2020-05-20,48,0,0
2020-05-20,49,31,13
2020-05-20,50,0,0
2020-05-20,51,7,7
2020-05-20,52,1,1
2020-05-20,53,2,1
2020-05-20,54,37,17
2020-05-20,55,19,10
2020-05-20,56,3,3
2020-05-20,57,65,36
2020-05-20,58,2,5
2020-05-20,59,65,40
2020-05-20,60,12,13
2020-05-20,61,6,4
2020-05-20,62,21,12
2020-05-20,63,1,2
2020-05-20,64,1,3
2020-05-20,65,0,1
2020-05-20,66,0,0
2020-05-20,67,13,18
2020-05-20,68,31,16
2020-05-20,69,25,25
2020-05-20,70,1,1
2020-05-20,71,7,8
2020-05-20,72,6,5
2020-05-20,73,2,2
2020-05-20,74,1,5
2020-05-20,75,42,35
2020-05-20,76,4,7
2020-05-20,77,22,22
2020-05-20,78,42,27
2020-05-20,79,12,9
2020-05-20,80,6,7
2020-05-20,81,3,1
2020-05-20,82,2,2
2020-05-20,83,2,3
2020-05-20,84,4,2
2020-05-20,85,16,7
2020-05-20,86,26,11
2020-05-20,87,0,1
2020-05-20,88,6,3
2020-05-20,89,5,4
2020-05-20,90,3,2
2020-05-20,91,13,22
2020-05-20,92,49,37
2020-05-20,93,46,34
2020-05-20,94,36,29
2020-05-20,95,40,30
2020-05-20,971,1,0
2020-05-20,972,4,2
2020-05-20,973,0,1
2020-05-20,974,3,1
2020-05-20,975,0,0
2020-05-20,976,2,4
2020-05-20,977,0,0
2020-05-20,978,0,0
2020-05-21,01,1,5
2020-05-21,02,2,8
2020-05-21,03,0,2
2020-05-21,04,0,0
2020-05-21,05,0,1
2020-05-21,06,2,13
2020-05-21,07,0,1
2020-05-21,08,0,3
2020-05-21,09,0,0
2020-05-21,10,0,3
2020-05-21,11,0,3
2020-05-21,12,0,2
2020-05-21,13,7,30
2020-05-21,14,0,2
2020-05-21,15,0,0
2020-05-21,16,0,3
2020-05-21,17,0,1
2020-05-21,18,0,2
2020-05-21,19,0,1
2020-05-21,21,0,6
2020-05-21,22,17,18
2020-05-21,23,1,1
2020-05-21,24,0,1
2020-05-21,25,1,5
2020-05-21,26,0,3
2020-05-21,27,0,3
2020-05-21,28,0,4
2020-05-21,29,2,1
2020-05-21,2A,0,1
2020-05-21,2B,0,1
2020-05-21,30,0,9
2020-05-21,31,1,6
2020-05-21,32,0,5
2020-05-21,33,0,3
2020-05-21,34,0,8
2020-05-21,35,6,13
2020-05-21,36,0,1
2020-05-21,37,1,7
2020-05-21,38,0,5
2020-05-21,39,2,2
2020-05-21,40,0,1
2020-05-21,41,1,3
2020-05-21,42,4,3
2020-05-21,43,0,1
2020-05-21,44,5,7
2020-05-21,45,9,22
2020-05-21,46,0,2
2020-05-21,47,0,1
2020-05-21,48,0,0
2020-05-21,49,7,12
2020-05-21,50,0,0
2020-05-21,51,0,6
2020-05-21,52,0,1
2020-05-21,53,1,1
2020-05-21,54,7,17
2020-05-21,55,0,9
2020-05-21,56,1,2
2020-05-21,57,5,32
2020-05-21,58,0,5
2020-05-21,59,16,36
2020-05-21,60,3,11
2020-05-21,61,3,4
2020-05-21,62,1,10
2020-05-21,63,4,2
2020-05-21,64,0,3
2020-05-21,65,0,1
2020-05-21,66,0,0
2020-05-21,67,2,15
2020-05-21,68,6,14
2020-05-21,69,3,19
2020-05-21,70,0,1
2020-05-21,71,0,6
2020-05-21,72,0,5
2020-05-21,73,3,3
2020-05-21,74,0,4
2020-05-21,75,9,29
2020-05-21,76,2,6
2020-05-21,77,9,19
2020-05-21,78,0,24
2020-05-21,79,0,8
2020-05-21,80,0,6
2020-05-21,81,0,1
2020-05-21,82,0,2
2020-05-21,83,0,2
2020-05-21,84,0,2
2020-05-21,85,5,7
2020-05-21,86,0,10
2020-05-21,87,0,1
2020-05-21,88,2,3
2020-05-21,89,2,4
2020-05-21,90,0,2
2020-05-21,91,3,16
2020-05-21,92,3,31
2020-05-21,93,4,25
2020-05-21,94,5,24
2020-05-21,95,6,25
2020-05-21,971,2,0
2020-05-21,972,0,1
2020-05-21,973,15,3
2020-05-21,974,0,1
2020-05-21,975,0,0
2020-05-21,976,0,2
2020-05-21,977,0,0
2020-05-21,978,0,0
2020-05-22,01,7,6
2020-05-22,02,8,7
2020-05-22,03,17,4
2020-05-22,04,1,0
2020-05-22,05,0,1
2020-05-22,06,4,11
2020-05-22,07,1,1
2020-05-22,08,3,2
2020-05-22,09,0,0
2020-05-22,10,0,2
2020-05-22,11,4,3
2020-05-22,12,0,1
2020-05-22,13,33,28
2020-05-22,14,1,2
2020-05-22,15,2,1
2020-05-22,16,7,3
2020-05-22,17,1,1
2020-05-22,18,1,1
2020-05-22,19,1,1
2020-05-22,21,13,6
2020-05-22,22,14,18
2020-05-22,23,1,1
2020-05-22,24,1,1
2020-05-22,25,5,4
2020-05-22,26,3,2
2020-05-22,27,4,3
2020-05-22,28,1,3
2020-05-22,29,4,2
2020-05-22,2A,0,1
2020-05-22,2B,0,1
2020-05-22,30,5,7
2020-05-22,31,7,5
2020-05-22,32,0,5
2020-05-22,33,3,3
2020-05-22,34,8,8
2020-05-22,35,3,4
2020-05-22,36,0,1
2020-05-22,37,5,6
2020-05-22,38,5,5
2020-05-22,39,7,2
2020-05-22,40,0,1
2020-05-22,41,2,2
2020-05-22,42,5,3
2020-05-22,43,2,1
2020-05-22,44,9,7
2020-05-22,45,10,20
2020-05-22,46,0,1
2020-05-22,47,2,1
2020-05-22,48,0,0
2020-05-22,49,10,13
2020-05-22,50,2,1
2020-05-22,51,10,6
2020-05-22,52,1,1
2020-05-22,53,2,1
2020-05-22,54,16,16
2020-05-22,55,1,6
2020-05-22,56,6,3
2020-05-22,57,21,28
2020-05-22,58,0,1
2020-05-22,59,97,46
2020-05-22,60,11,9
2020-05-22,61,5,3
2020-05-22,62,18,12
2020-05-22,63,1,1
2020-05-22,64,1,1
2020-05-22,65,0,0
2020-05-22,66,0,0
2020-05-22,67,21,14
2020-05-22,68,10,13
2020-05-22,69,24,19
2020-05-22,70,1,1
2020-05-22,71,7,6
2020-05-22,72,11,6
2020-05-22,73,5,3
2020-05-22,74,2,3
2020-05-22,75,34,27
2020-05-22,76,5,5
2020-05-22,77,15,18
2020-05-22,78,14,21
2020-05-22,79,6,9
2020-05-22,80,9,6
2020-05-22,81,0,1
2020-05-22,82,0,2
2020-05-22,83,4,3
2020-05-22,84,0,2
2020-05-22,85,7,7
2020-05-22,86,33,14
2020-05-22,87,0,1
2020-05-22,88,7,4
