dep,jour,taux_posiv_glissant
25,2020-05-15,NA
26,2020-05-15,NA
27,2020-05-15,NA
28,2020-05-15,NA
29,2020-05-15,NA
2A,2020-05-15,NA
2B,2020-05-15,NA
30,2020-05-15,NA
31,2020-05-15,NA
32,2020-05-15,NA
33,2020-05-15,NA
34,2020-05-15,NA
35,2020-05-15,NA
36,2020-05-15,NA
37,2020-05-15,NA
38,2020-05-15,NA
39,2020-05-15,NA
40,2020-05-15,NA
41,2020-05-15,NA
42,2020-05-15,NA
43,2020-05-15,NA
44,2020-05-15,NA
45,2020-05-15,NA
46,2020-05-15,NA
47,2020-05-15,NA
48,2020-05-15,NA
49,2020-05-15,NA
50,2020-05-15,NA
51,2020-05-15,NA
52,2020-05-15,NA
53,2020-05-15,NA
54,2020-05-15,NA
55,2020-05-15,NA
56,2020-05-15,NA
57,2020-05-15,NA
58,2020-05-15,NA
59,2020-05-15,NA
60,2020-05-15,NA
61,2020-05-15,NA
62,2020-05-15,NA
63,2020-05-15,NA
64,2020-05-15,NA
65,2020-05-15,NA
66,2020-05-15,NA
67,2020-05-15,NA
68,2020-05-15,NA
69,2020-05-15,NA
70,2020-05-15,NA
71,2020-05-15,NA
72,2020-05-15,NA
73,2020-05-15,NA
74,2020-05-15,NA
75,2020-05-15,NA
76,2020-05-15,NA
77,2020-05-15,NA
78,2020-05-15,NA
79,2020-05-15,NA
80,2020-05-15,NA
81,2020-05-15,NA
82,2020-05-15,NA
83,2020-05-15,NA
84,2020-05-15,NA
85,2020-05-15,NA
86,2020-05-15,NA
87,2020-05-15,NA
88,2020-05-15,NA
89,2020-05-15,NA
90,2020-05-15,NA
91,2020-05-15,NA
92,2020-05-15,NA
93,2020-05-15,NA
94,2020-05-15,NA
95,2020-05-15,NA
971,2020-05-15,NA
972,2020-05-15,NA
973,2020-05-15,NA
974,2020-05-15,NA
975,2020-05-15,NA
976,2020-05-15,NA
977,2020-05-15,NA
978,2020-05-15,NA
01,2020-05-16,NA
02,2020-05-16,NA
03,2020-05-16,NA
04,2020-05-16,NA
05,2020-05-16,NA
06,2020-05-16,NA
07,2020-05-16,NA
08,2020-05-16,NA
09,2020-05-16,NA
10,2020-05-16,NA
11,2020-05-16,NA
12,2020-05-16,NA
13,2020-05-16,NA
14,2020-05-16,NA
15,2020-05-16,NA
16,2020-05-16,NA
17,2020-05-16,NA
18,2020-05-16,NA
19,2020-05-16,NA
21,2020-05-16,NA
22,2020-05-16,NA
23,2020-05-16,NA
24,2020-05-16,NA
25,2020-05-16,NA
26,2020-05-16,NA
27,2020-05-16,NA
28,2020-05-16,NA
29,2020-05-16,NA
2A,2020-05-16,NA
2B,2020-05-16,NA
30,2020-05-16,NA
31,2020-05-16,NA
32,2020-05-16,NA
33,2020-05-16,NA
34,2020-05-16,NA
35,2020-05-16,NA
36,2020-05-16,NA
37,2020-05-16,NA
38,2020-05-16,NA
39,2020-05-16,NA
40,2020-05-16,NA
41,2020-05-16,NA
42,2020-05-16,NA
43,2020-05-16,NA
44,2020-05-16,NA
45,2020-05-16,NA
46,2020-05-16,NA
47,2020-05-16,NA
48,2020-05-16,NA
49,2020-05-16,NA
50,2020-05-16,NA
51,2020-05-16,NA
52,2020-05-16,NA
53,2020-05-16,NA
54,2020-05-16,NA
55,2020-05-16,NA
56,2020-05-16,NA
57,2020-05-16,NA
58,2020-05-16,NA
59,2020-05-16,NA
60,2020-05-16,NA
61,2020-05-16,NA
62,2020-05-16,NA
63,2020-05-16,NA
64,2020-05-16,NA
65,2020-05-16,NA
66,2020-05-16,NA
67,2020-05-16,NA
68,2020-05-16,NA
69,2020-05-16,NA
70,2020-05-16,NA
71,2020-05-16,NA
72,2020-05-16,NA
73,2020-05-16,NA
74,2020-05-16,NA
75,2020-05-16,NA
76,2020-05-16,NA
77,2020-05-16,NA
78,2020-05-16,NA
79,2020-05-16,NA
80,2020-05-16,NA
81,2020-05-16,NA
82,2020-05-16,NA
83,2020-05-16,NA
84,2020-05-16,NA
85,2020-05-16,NA
86,2020-05-16,NA
87,2020-05-16,NA
88,2020-05-16,NA
89,2020-05-16,NA
90,2020-05-16,NA
91,2020-05-16,NA
92,2020-05-16,NA
93,2020-05-16,NA
94,2020-05-16,NA
95,2020-05-16,NA
971,2020-05-16,NA
972,2020-05-16,NA
973,2020-05-16,NA
974,2020-05-16,NA
975,2020-05-16,NA
976,2020-05-16,NA
977,2020-05-16,NA
978,2020-05-16,NA
01,2020-05-17,NA
02,2020-05-17,NA
03,2020-05-17,NA
04,2020-05-17,NA
05,2020-05-17,NA
06,2020-05-17,NA
07,2020-05-17,NA
08,2020-05-17,NA
09,2020-05-17,NA
10,2020-05-17,NA
11,2020-05-17,NA
12,2020-05-17,NA
13,2020-05-17,NA
14,2020-05-17,NA
15,2020-05-17,NA
16,2020-05-17,NA
17,2020-05-17,NA
18,2020-05-17,NA
19,2020-05-17,NA
21,2020-05-17,NA
22,2020-05-17,NA
23,2020-05-17,NA
24,2020-05-17,NA
25,2020-05-17,NA
26,2020-05-17,NA
27,2020-05-17,NA
28,2020-05-17,NA
29,2020-05-17,NA
2A,2020-05-17,NA
2B,2020-05-17,NA
30,2020-05-17,NA
31,2020-05-17,NA
32,2020-05-17,NA
33,2020-05-17,NA
34,2020-05-17,NA
35,2020-05-17,NA
36,2020-05-17,NA
37,2020-05-17,NA
38,2020-05-17,NA
39,2020-05-17,NA
40,2020-05-17,NA
41,2020-05-17,NA
42,2020-05-17,NA
43,2020-05-17,NA
44,2020-05-17,NA
45,2020-05-17,NA
46,2020-05-17,NA
47,2020-05-17,NA
48,2020-05-17,NA
49,2020-05-17,NA
50,2020-05-17,NA
51,2020-05-17,NA
52,2020-05-17,NA
53,2020-05-17,NA
54,2020-05-17,NA
55,2020-05-17,NA
56,2020-05-17,NA
57,2020-05-17,NA
58,2020-05-17,NA
59,2020-05-17,NA
60,2020-05-17,NA
61,2020-05-17,NA
62,2020-05-17,NA
63,2020-05-17,NA
64,2020-05-17,NA
65,2020-05-17,NA
66,2020-05-17,NA
67,2020-05-17,NA
68,2020-05-17,NA
69,2020-05-17,NA
70,2020-05-17,NA
71,2020-05-17,NA
72,2020-05-17,NA
73,2020-05-17,NA
74,2020-05-17,NA
75,2020-05-17,NA
76,2020-05-17,NA
77,2020-05-17,NA
78,2020-05-17,NA
79,2020-05-17,NA
80,2020-05-17,NA
81,2020-05-17,NA
82,2020-05-17,NA
83,2020-05-17,NA
84,2020-05-17,NA
85,2020-05-17,NA
86,2020-05-17,NA
87,2020-05-17,NA
88,2020-05-17,NA
89,2020-05-17,NA
90,2020-05-17,NA
91,2020-05-17,NA
92,2020-05-17,NA
93,2020-05-17,NA
94,2020-05-17,NA
95,2020-05-17,NA
971,2020-05-17,NA
972,2020-05-17,NA
973,2020-05-17,NA
974,2020-05-17,NA
975,2020-05-17,NA
976,2020-05-17,NA
977,2020-05-17,NA
978,2020-05-17,NA
01,2020-05-18,NA
02,2020-05-18,NA
03,2020-05-18,NA
04,2020-05-18,NA
05,2020-05-18,NA
06,2020-05-18,NA
07,2020-05-18,NA
08,2020-05-18,NA
09,2020-05-18,NA
10,2020-05-18,NA
11,2020-05-18,NA
12,2020-05-18,NA
13,2020-05-18,NA
14,2020-05-18,NA
15,2020-05-18,NA
16,2020-05-18,NA
17,2020-05-18,NA
18,2020-05-18,NA
19,2020-05-18,NA
21,2020-05-18,NA
22,2020-05-18,NA
23,2020-05-18,NA
24,2020-05-18,NA
25,2020-05-18,NA
26,2020-05-18,NA
27,2020-05-18,NA
28,2020-05-18,NA
29,2020-05-18,NA
2A,2020-05-18,NA
2B,2020-05-18,NA
30,2020-05-18,NA
31,2020-05-18,NA
32,2020-05-18,NA
33,2020-05-18,NA
34,2020-05-18,NA
35,2020-05-18,NA
36,2020-05-18,NA
37,2020-05-18,NA
38,2020-05-18,NA
39,2020-05-18,NA
40,2020-05-18,NA
41,2020-05-18,NA
42,2020-05-18,NA
43,2020-05-18,NA
44,2020-05-18,NA
45,2020-05-18,NA
46,2020-05-18,NA
47,2020-05-18,NA
48,2020-05-18,NA
49,2020-05-18,NA
50,2020-05-18,NA
51,2020-05-18,NA
52,2020-05-18,NA
53,2020-05-18,NA
54,2020-05-18,NA
55,2020-05-18,NA
56,2020-05-18,NA
57,2020-05-18,NA
58,2020-05-18,NA
59,2020-05-18,NA
60,2020-05-18,NA
61,2020-05-18,NA
62,2020-05-18,NA
63,2020-05-18,NA
64,2020-05-18,NA
65,2020-05-18,NA
66,2020-05-18,NA
67,2020-05-18,NA
68,2020-05-18,NA
69,2020-05-18,NA
70,2020-05-18,NA
71,2020-05-18,NA
72,2020-05-18,NA
73,2020-05-18,NA
74,2020-05-18,NA
75,2020-05-18,NA
76,2020-05-18,NA
77,2020-05-18,NA
78,2020-05-18,NA
79,2020-05-18,NA
80,2020-05-18,NA
81,2020-05-18,NA
82,2020-05-18,NA
83,2020-05-18,NA
84,2020-05-18,NA
85,2020-05-18,NA
86,2020-05-18,NA
87,2020-05-18,NA
88,2020-05-18,NA
89,2020-05-18,NA
90,2020-05-18,NA
91,2020-05-18,NA
92,2020-05-18,NA
93,2020-05-18,NA
94,2020-05-18,NA
95,2020-05-18,NA
971,2020-05-18,NA
972,2020-05-18,NA
973,2020-05-18,NA
974,2020-05-18,NA
975,2020-05-18,NA
976,2020-05-18,NA
977,2020-05-18,NA
978,2020-05-18,NA
01,2020-05-19,1.6306408797876375
02,2020-05-19,3.303303303303303
03,2020-05-19,1.1111111111111112
04,2020-05-19,0.7604562737642585
05,2020-05-19,4.046242774566474
06,2020-05-19,2.282453637660485
07,2020-05-19,2.413273001508296
08,2020-05-19,3.289473684210526
09,2020-05-19,0.2985074626865672
10,2020-05-19,1.274426508071368
11,2020-05-19,3.7059913526868438
12,2020-05-19,3.784403669724771
13,2020-05-19,1.5370497820601055
14,2020-05-19,0.7366482504604052
15,2020-05-19,1.3262599469496021
16,2020-05-19,1.8439716312056738
17,2020-05-19,0.4240282685512367
18,2020-05-19,2.027027027027027
19,2020-05-19,0.8849557522123894
21,2020-05-19,2.2015655577299413
22,2020-05-19,3.541912632821724
23,2020-05-19,0.6954102920723227
24,2020-05-19,0.8871989860583016
25,2020-05-19,1.7058552328261871
26,2020-05-19,1.971830985915493
27,2020-05-19,2.6565464895635675
28,2020-05-19,2.838827838827839
29,2020-05-19,0.427578834847675
2A,2020-05-19,1.0298661174047374
2B,2020-05-19,1.023890784982935
30,2020-05-19,2.1953547566019727
31,2020-05-19,0.9756829780846592
32,2020-05-19,2.7453671928620453
33,2020-05-19,0.5510809665112336
34,2020-05-19,0.7909267273541262
35,2020-05-19,3.304042179261863
36,2020-05-19,2.0146520146520146
37,2020-05-19,1.456639566395664
38,2020-05-19,1.1057173678532901
39,2020-05-19,1.032258064516129
40,2020-05-19,1.0070493454179255
41,2020-05-19,1.6094420600858368
42,2020-05-19,1.245136186770428
43,2020-05-19,0.9732360097323601
44,2020-05-19,1.3137151865475565
45,2020-05-19,4.371274481975589
46,2020-05-19,2.6052104208416833
47,2020-05-19,0.8064516129032258
48,2020-05-19,0.33003300330033003
49,2020-05-19,2.34149855907781
50,2020-05-19,0.625
51,2020-05-19,2.667290594291062
52,2020-05-19,1.5202702702702704
53,2020-05-19,1.2987012987012987
54,2020-05-19,2.5882922109337203
55,2020-05-19,5.3076923076923075
56,2020-05-19,0.9041591320072333
57,2020-05-19,4.1299042613103065
58,2020-05-19,3.575547866205306
59,2020-05-19,2.8690839263526486
60,2020-05-19,3.194390338917024
61,2020-05-19,2.634054562558796
62,2020-05-19,2.1058464948739264
63,2020-05-19,0.5246166263115416
64,2020-05-19,0.8671659440283799
65,2020-05-19,1.0131712259371835
66,2020-05-19,0
67,2020-05-19,2.3373651520104612
68,2020-05-19,2.7256740914419693
69,2020-05-19,2.03003003003003
70,2020-05-19,0.9680542110358179
71,2020-05-19,1.9285714285714284
72,2020-05-19,2.127659574468085
73,2020-05-19,1.6052880075542966
74,2020-05-19,1.5163002274450341
75,2020-05-19,2.3931455584006303
76,2020-05-19,1.9336126329358685
77,2020-05-19,2.524680368991746
78,2020-05-19,3.2506887052341593
79,2020-05-19,4.564315352697095
80,2020-05-19,1.89873417721519
81,2020-05-19,0.4446640316205534
82,2020-05-19,0.9243697478991597
83,2020-05-19,0.5989654233596515
84,2020-05-19,1.0630220197418374
85,2020-05-19,1.3598326359832638
86,2020-05-19,2.8175119202427394
87,2020-05-19,0.4916420845624385
88,2020-05-19,1.718650541056652
89,2020-05-19,1.1920529801324504
90,2020-05-19,2.4574669187145557
91,2020-05-19,3.220241518113859
92,2020-05-19,2.8758005776717317
93,2020-05-19,4.954792043399638
94,2020-05-19,3.204402006797216
95,2020-05-19,4.510218463706836
971,2020-05-19,0
972,2020-05-19,1.3142174432497014
973,2020-05-19,12.5
974,2020-05-19,0.29239766081871343
975,2020-05-19,0
976,2020-05-19,23.52941176470588
977,2020-05-19,0
978,2020-05-19,0
01,2020-05-20,1.6059957173447537
02,2020-05-20,3.3880903490759757
03,2020-05-20,1.477377654662973
04,2020-05-20,0.9242144177449169
05,2020-05-20,4.145077720207254
06,2020-05-20,1.8293670066375265
07,2020-05-20,1.8335684062059237
08,2020-05-20,3.0165912518853695
09,2020-05-20,0
10,2020-05-20,1.7828200972447326
11,2020-05-20,3.339517625231911
12,2020-05-20,3.329752953813104
13,2020-05-20,1.414881623449831
14,2020-05-20,0.6185567010309279
15,2020-05-20,1.240694789081886
16,2020-05-20,2.8735632183908044
17,2020-05-20,0.42765502494654317
18,2020-05-20,2.1216407355021216
19,2020-05-20,0.6802721088435374
21,2020-05-20,2.203065134099617
22,2020-05-20,3.973738769868694
23,2020-05-20,0.9536784741144414
24,2020-05-20,0.8101851851851851
25,2020-05-20,1.5873015873015872
26,2020-05-20,1.8433179723502304
27,2020-05-20,2.0590868397493285
28,2020-05-20,3.0136986301369864
29,2020-05-20,0.3663003663003663
2A,2020-05-20,0.7314524555903866
2B,2020-05-20,1.1042944785276074
30,2020-05-20,2.3374288282888824
31,2020-05-20,0.7857358718646117
32,2020-05-20,2.5932953826691967
33,2020-05-20,0.5466614603670441
34,2020-05-20,0.8888261851015801
35,2020-05-20,3.169251517194875
36,2020-05-20,1.639344262295082
37,2020-05-20,1.6139044072004967
38,2020-05-20,1.1213047910295617
39,2020-05-20,1.2391573729863694
40,2020-05-20,0.9363295880149813
41,2020-05-20,1.9791666666666665
42,2020-05-20,1.130974097044874
43,2020-05-20,1.312910284463895
44,2020-05-20,1.3223552894211577
45,2020-05-20,4.227212681638045
46,2020-05-20,2.371541501976284
47,2020-05-20,0.7712082262210797
48,2020-05-20,0.33783783783783783
49,2020-05-20,3.031323678006063
50,2020-05-20,0.22058823529411764
51,2020-05-20,2.2655188038060716
52,2020-05-20,1.3333333333333335
53,2020-05-20,1.2838801711840229
54,2020-05-20,2.694277443776442
55,2020-05-20,4.939106901217862
56,2020-05-20,0.9950248756218906
57,2020-05-20,4.30811649146993
58,2020-05-20,3.79746835443038
59,2020-05-20,2.705044281863689
60,2020-05-20,3.104518799586064
61,2020-05-20,2.6143790849673203
62,2020-05-20,2.1047356552242547
63,2020-05-20,0.4263565891472868
64,2020-05-20,0.7551240560949299
65,2020-05-20,0.8080808080808081
66,2020-05-20,0
67,2020-05-20,2.001270648030496
68,2020-05-20,3.081232492997199
69,2020-05-20,2.0855807263574255
70,2020-05-20,0.8984725965858041
71,2020-05-20,1.8963765662038605
72,2020-05-20,2.2222222222222223
73,2020-05-20,1.4951627088830255
74,2020-05-20,1.186623516720604
75,2020-05-20,2.2874606408594187
76,2020-05-20,1.5260043600124573
77,2020-05-20,2.389996834441279
78,2020-05-20,3.316190813974109
79,2020-05-20,4.531722054380665
80,2020-05-20,1.6610169491525422
81,2020-05-20,0.3125
82,2020-05-20,1.0734929810074318
83,2020-05-20,0.6027253668763103
84,2020-05-20,1.1687363038714391
85,2020-05-20,1.6838487972508591
86,2020-05-20,3.4358047016274864
87,2020-05-20,0.3917727717923604
88,2020-05-20,1.4388489208633095
89,2020-05-20,1.2564991334488735
90,2020-05-20,2.93040293040293
91,2020-05-20,2.8517469310670442
92,2020-05-20,2.9866356769320164
93,2020-05-20,4.077471967380224
94,2020-05-20,3.2546266751754946
95,2020-05-20,4.532515874753668
971,2020-05-20,0.20876826722338201
972,2020-05-20,1.131687242798354
973,2020-05-20,10
974,2020-05-20,0.3356831151393085
975,2020-05-20,0
976,2020-05-20,18.115942028985508
977,2020-05-20,0
978,2020-05-20,0
01,2020-05-21,1.5378221113881962
02,2020-05-21,3.507610853739246
03,2020-05-21,1.4752370916754478
04,2020-05-21,0.6772009029345373
05,2020-05-21,2.694610778443114
06,2020-05-21,1.636396331595037
07,2020-05-21,1.5126050420168067
08,2020-05-21,2.8662420382165608
09,2020-05-21,0
10,2020-05-21,2.085308056872038
11,2020-05-21,1.3568521031207599
12,2020-05-21,2.083333333333333
13,2020-05-21,1.3585004245313825
14,2020-05-21,0.45263498221791143
15,2020-05-21,0.84985835694051
16,2020-05-21,3.125
17,2020-05-21,0.5240174672489083
18,2020-05-21,2.218700475435816
19,2020-05-21,0.7434944237918215
21,2020-05-21,2.1264994547437297
22,2020-05-21,4.474431818181818
23,2020-05-21,1.1864406779661016
24,2020-05-21,0.6345177664974619
25,2020-05-21,1.597603594608088
26,2020-05-21,1.4592933947772657
27,2020-05-21,1.8145161290322582
28,2020-05-21,2.754237288135593
29,2020-05-21,0.4556962025316456
2A,2020-05-21,0.601684717208183
2B,2020-05-21,1.206636500754148
30,2020-05-21,2.0768431983385254
31,2020-05-21,0.7697690692792162
32,2020-05-21,2.6009582477754964
33,2020-05-21,0.5073902492830356
34,2020-05-21,0.8838383838383838
35,2020-05-21,3.6522429535529968
36,2020-05-21,1.6666666666666667
37,2020-05-21,1.6382252559726962
38,2020-05-21,0.9546539379474941
39,2020-05-21,1.6528925619834711
40,2020-05-21,0.8648648648648649
41,2020-05-21,2.0524515393386547
42,2020-05-21,0.8478168715557439
43,2020-05-21,1.2755102040816326
44,2020-05-21,1.469341621927098
45,2020-05-21,4.564691656590085
46,2020-05-21,2.4663677130044843
47,2020-05-21,0.7633587786259541
48,2020-05-21,0.3508771929824561
49,2020-05-21,3.385826771653543
50,2020-05-21,0.16849199663016007
51,2020-05-21,2.140504939626784
52,2020-05-21,1.440329218106996
53,2020-05-21,1.2539184952978055
54,2020-05-21,2.9024390243902443
55,2020-05-21,5.212510024057739
56,2020-05-21,0.9433962264150944
57,2020-05-21,4.5473251028806585
58,2020-05-21,4.089219330855019
59,2020-05-21,2.72029016428419
60,2020-05-21,2.8963414634146343
61,2020-05-21,2.62891809908999
62,2020-05-21,1.9851116625310175
63,2020-05-21,0.5671077504725899
64,2020-05-21,0.8775595486836606
65,2020-05-21,0.8793969849246231
66,2020-05-21,0
67,2020-05-21,1.9371345029239766
68,2020-05-21,3.2490974729241873
69,2020-05-21,1.9263456090651558
70,2020-05-21,0.5035246727089627
71,2020-05-21,1.5965732087227413
72,2020-05-21,2.1834061135371177
73,2020-05-21,1.8095238095238095
74,2020-05-21,1.176948051948052
75,2020-05-21,2.1190930281839373
76,2020-05-21,1.4381270903010033
77,2020-05-21,2.3264073876753684
78,2020-05-21,3.323323323323323
79,2020-05-21,4.675963904840033
80,2020-05-21,1.5005771450557905
81,2020-05-21,0.3158559696778269
82,2020-05-21,1.2037037037037037
83,2020-05-21,0.5342551854179761
84,2020-05-21,1.17011701170117
85,2020-05-21,1.951779563719862
86,2020-05-21,3.4129692832764507
87,2020-05-21,0.43478260869565216
88,2020-05-21,1.3708019191226868
89,2020-05-21,1.5301085883514314
90,2020-05-21,3.024193548387097
91,2020-05-21,2.3877327491785323
92,2020-05-21,2.843291404612159
93,2020-05-21,3.387250237868696
94,2020-05-21,3.1503316138540898
95,2020-05-21,4.395604395604396
971,2020-05-21,0.594059405940594
972,2020-05-21,0.9259259259259258
973,2020-05-21,9.004739336492891
974,2020-05-21,0.31982942430703626
975,2020-05-21,0
976,2020-05-21,15.09433962264151
977,2020-05-21,0
978,2020-05-21,0
01,2020-05-22,1.675257731958763
02,2020-05-22,3.2936229852838124
03,2020-05-22,2.550571679859279
04,2020-05-22,0.6211180124223602
05,2020-05-22,2.6548672566371683
06,2020-05-22,1.3330963384287238
07,2020-05-22,0.8756567425569177
08,2020-05-22,2.2658610271903323
09,2020-05-22,0
10,2020-05-22,1.7364657814096014
11,2020-05-22,1.3513513513513513
12,2020-05-22,0.730816077953715
13,2020-05-22,1.280945111833809
14,2020-05-22,0.38797284190106696
15,2020-05-22,1.4204545454545454
16,2020-05-22,2.975420439844761
17,2020-05-22,0.49504950495049505
18,2020-05-22,1.5649452269170578
19,2020-05-22,0.7884362680683311
21,2020-05-22,2.633118782913985
22,2020-05-22,4.09809616005163
23,2020-05-22,1.1730205278592376
24,2020-05-22,0.75
25,2020-05-22,1.648059542796385
26,2020-05-22,1.2224938875305624
27,2020-05-22,1.903807615230461
28,2020-05-22,1.8886679920477136
29,2020-05-22,0.5405405405405406
2A,2020-05-22,0.4410143329658214
2B,2020-05-22,1.21765601217656
30,2020-05-22,1.7070672584499829
31,2020-05-22,0.6351578554081823
32,2020-05-22,2.515295717199184
33,2020-05-22,0.46666666666666673
34,2020-05-22,0.9014514896867838
35,2020-05-22,1.3620386643233744
36,2020-05-22,0.6993006993006993
37,2020-05-22,1.6031350195938723
38,2020-05-22,0.9560800717060053
39,2020-05-22,1.6927083333333333
40,2020-05-22,0.9828009828009828
41,2020-05-22,1.9583843329253363
42,2020-05-22,0.7272727272727273
43,2020-05-22,1.7369727047146404
44,2020-05-22,1.4577259475218658
45,2020-05-22,3.981400755594304
46,2020-05-22,1.0416666666666665
47,2020-05-22,0.9188361408882083
48,2020-05-22,0.3289473684210526
49,2020-05-22,3.359173126614987
50,2020-05-22,0.34423407917383825
51,2020-05-22,2.135815991237678
52,2020-05-22,2.072538860103627
53,2020-05-22,1.06544901065449
54,2020-05-22,2.682528574760905
55,2020-05-22,3.816793893129771
56,2020-05-22,1.2353304508956144
57,2020-05-22,4.0016250253910215
58,2020-05-22,0.6172839506172839
59,2020-05-22,3.020637898686679
60,2020-05-22,2.56941566514712
